Collaboration,dehumanization,loneliness,satisfaction
1,2.8,3.18181818181818,6
1,3.4,4,4.33333333333333
1,2,3.72727272727273,4
1,3.8,4.09090909090909,4.66666666666667
1,5.8,4.27272727272727,2.66666666666667
1,2.2,2.72727272727273,5.33333333333333
1,1.8,1.81818181818182,7
1,3.4,4.09090909090909,5
1,4.6,4.45454545454545,4
1,6.6,4,2
1,2.6,3.90909090909091,6
1,3.2,4,6
1,4,4.72727272727273,4.66666666666667
1,3.2,3.27272727272727,4
1,3.6,3.81818181818182,4.33333333333333
1,2.6,2.90909090909091,5.66666666666667
1,4.6,2.63636363636364,3
1,5,2.18181818181818,7
1,4.6,4,4
1,7,3.72727272727273,4
1,2.8,1.27272727272727,5.66666666666667
1,3.8,4.18181818181818,4.33333333333333
1,1.8,3.09090909090909,6
1,7,6.36363636363636,1
1,3.2,4.90909090909091,6
1,2.2,3.54545454545455,5.33333333333333
1,2.4,2.09090909090909,6
1,4,2.63636363636364,4.66666666666667
1,2,3,3.66666666666667
1,2.8,2.72727272727273,6
1,2.8,3.72727272727273,5
1,4,2.72727272727273,5
1,4,4,4.66666666666667
1,3.6,4.18181818181818,4
1,2.6,3,5
0,2.4,4,3.33333333333333
0,2.8,4,4.66666666666667
0,4,5,4.66666666666667
0,3.4,4,5
0,2.8,3.45454545454545,5
0,3.8,3.54545454545455,4
0,3.4,2.72727272727273,2.66666666666667
0,2.6,2.81818181818182,5
0,2.6,2.27272727272727,5
0,3,4,4.33333333333333
0,3.4,3.72727272727273,4.66666666666667
0,2.2,3.45454545454545,4.66666666666667
0,3.6,3.54545454545455,4
0,4,3,2.33333333333333
0,2,1.90909090909091,4
0,2,2.63636363636364,4
0,1.8,2.36363636363636,4
0,2,2.36363636363636,5
0,1.4,2.09090909090909,4
0,2.6,2.09090909090909,5.66666666666667
0,2.6,4,7
0,1.4,1.54545454545455,5
0,3.6,3.18181818181818,5.66666666666667
0,3.6,2.27272727272727,4.66666666666667
0,2.8,2,4.33333333333333
0,5,2.45454545454545,6
0,2,3.72727272727273,7
0,2,4,6
0,1.2,1,5.66666666666667
0,2,4,6
0,2.4,2.36363636363636,1
0,3.4,2.36363636363636,5
